001001##T0001   22,長阿含經                                 ,【後秦 佛陀耶舍共竺佛念譯】
001065##T0065    1,伏婬經                                   ,【西晉 法炬譯】
001066##T0066    1,魔嬈亂經                                 ,【失譯】
001067##T0067    1,弊魔試目連經                             ,【吳 支謙譯】
001068##T0068    1,賴吒和羅經                               ,【吳 支謙譯】
001069##T0069    1,護國經                                   ,【宋 法賢譯】
001070##T0070    1,數經                                     ,【西晉 法炬譯】
001071##T0071    1,梵志頞波羅延問種尊經                     ,【東晉 竺曇無蘭譯】
001072##T0072    1,三歸五戒慈心厭離功德經                   ,【失譯】
001073##T0073    1,須達經                                   ,【蕭齊 求那毘地譯】
001074##T0074    1,長者施報經                               ,【宋 法天譯】
001075##T0075    1,佛為黃竹園老婆羅門說學經                 ,【失譯】
001076##T0076    1,梵摩渝經                                 ,【吳 支謙譯】
001077##T0077    1,尊上經                                   ,【西晉 竺法護譯】
001078##T0078    1,兜調經                                   ,【失譯】
001079##T0079    1,鸚鵡經                                   ,【劉宋 求那跋陀羅譯】
001080##T0080    1,佛為首迦長者說業報差別經                 ,【隋 瞿曇法智譯】
001081##T0081    2,分別善惡報應經                           ,【宋 天息災譯】
001082##T0082    1,意經                                     ,【西晉 竺法護譯】
001083##T0083    1,應法經                                   ,【西晉 竺法護譯】
001084##T0084    1,分別布施經                               ,【宋 施護譯】
001085##T0085    1,息諍因緣經                               ,【宋 施護譯】
001086##T0086    1,泥犁經                                   ,【東晉 竺曇無蘭譯】
001087##T0087    1,齋經                                     ,【吳 支謙譯】
001088##T0088    1,優陂夷墮舍迦經                           ,【失譯】
001089##T0089    1,八關齋經                                 ,【劉宋 沮渠京聲譯】
001090##T0090    1,鞞摩肅經                                 ,【劉宋 求那跋陀羅譯】
001091##T0091    1,婆羅門子命終愛念不離經                   ,【後漢 安世高譯】
001092##T0092    1,十支居士八城人經                         ,【後漢 安世高譯】
001093##T0093    1,邪見經                                   ,【失譯】
001094##T0094    1,箭喻經                                   ,【失譯】
001095##T0095    1,蟻喻經                                   ,【宋 施護譯】
001096##T0096    1,治意經                                   ,【失譯】
001097##T0097    1,廣義法門經                               ,【陳 真諦譯】
001098##T0098    1,普法義經                                 ,【後漢 安世高譯】
002001##T0099   50,雜阿含經                                 ,【劉宋 求那跋陀羅譯】
002002##T0100   16,別譯雜阿含經                             ,【失譯】
002003##T0101    1,雜阿含經                                 ,【失譯】
002004##T0102    1,佛說五蘊皆空經                           ,【唐 義淨譯】
002005##T0103    1,佛說聖法印經                             ,【西晉 竺法護譯】
002006##T0104    1,佛說法印經                               ,【宋 施護譯】
002007##T0105    1,五陰譬喻經                               ,【後漢 安世高譯】
002008##T0106    1,佛說水沫所漂經                           ,【東晉 竺曇無蘭譯】
002009##T0107    1,佛說不自守意經                           ,【吳 支謙譯】
002010##T0108    1,佛說滿願子經                             ,【失譯】
002011##T0109    1,佛說轉法輪經                             ,【後漢 安世高譯】
002012##T0110    1,佛說三轉法輪經                           ,【唐 義淨譯】
002013##T0111    1,佛說相應相可經                           ,【西晉 法炬譯】
002014##T0112    1,佛說八正道經                             ,【後漢 安世高譯】
002015##T0113    1,佛說難提釋經                             ,【西晉 法炬譯】
002016##T0114    1,佛說馬有三相經                           ,【後漢 支曜譯】
002017##T0115    1,佛說馬有八態譬人經                       ,【後漢 支曜譯】
002018##T0116    1,佛說戒德香經                             ,【東晉 竺曇無蘭譯】
002019##T0117    1,佛說戒香經                               ,【宋 法賢譯】
002020##T0118    1,佛說鴦掘摩經                             ,【西晉 竺法護譯】
002021##T0119    1,佛說鴦崛髻經                             ,【西晉 法炬譯】
002022##T0120    4,央掘魔羅經                               ,【劉宋 求那跋陀羅譯】
002023##T0121    1,佛說月喻經                               ,【宋 施護譯】
002024##T0122    1,佛說波斯匿王太后崩塵土坌身經             ,【西晉 法炬譯】
002025##T0123    1,佛說放牛經                               ,【後秦 鳩摩羅什譯】
002026##T0124    1,緣起經                                   ,【唐 玄奘譯】
002027##T0125   51,增壹阿含經                               ,【東晉 瞿曇僧伽提婆譯】
002028##T0126    1,佛說阿羅漢具德經                         ,【宋 法賢譯】
002029##T0127    1,佛說四人出現世間經                       ,【劉宋 求那跋陀羅譯】
002030##T0128a   1,須摩提女經                               ,【吳 支謙譯】
002031##T0128b   1,須摩提女經                               ,【吳 支謙譯】
002032##T0129    1,佛說三摩竭經                             ,【吳 竺律炎譯】
002033##T0130    3,佛說給孤長者女得度因緣經                 ,【宋 施護譯】
002034##T0131    1,佛說婆羅門避死經                         ,【後漢 安世高譯】
002035##T0132a   1,佛說食施獲五福報經                       ,【失譯】
002036##T0132b   1,施食獲五福報經                           ,【失譯】
002037##T0133    1,頻毘娑羅王詣佛供養經                     ,【西晉 法炬譯】
002038##T0134    1,佛說長者子六過出家經                     ,【劉宋 慧簡譯】
002039##T0135    1,佛說力士移山經                           ,【西晉 竺法護譯】
002040##T0136    1,佛說四未曾有法經                         ,【西晉 竺法護譯】
002041##T0137    1,舍利弗摩訶目連遊四衢經                   ,【後漢 康孟詳譯】
002042##T0138    1,佛說十一想思念如來經                     ,【劉宋 求那跋陀羅譯】
002043##T0139    1,佛說四泥犁經                             ,【東晉 竺曇無蘭譯】
002044##T0140    1,阿那邠邸化七子經                         ,【後漢 安世高譯】
002045##T0141    1,佛說阿速達經                             ,【劉宋 求那跋陀羅譯】
002046##T0142a   1,佛說玉耶女經                             ,【失譯】
002047##T0142b   1,玉耶女經                                 ,【失譯】
002048##T0143    1,玉耶經                                   ,【東晉 竺曇無蘭譯】
002049##T0144    1,佛說大愛道般泥洹經                       ,【西晉 白法祖譯】
002050##T0145    1,佛母般泥洹經                             ,【劉宋 慧簡譯】
002051##T0146    1,舍衛國王夢見十事經                       ,【失譯】
002052##T0147    1,佛說舍衛國王十夢經                       ,【失譯】
002053##T0148    1,國王不梨先泥十夢經                       ,【東晉 竺曇無蘭譯】
002054##T0149    1,佛說阿難同學經                           ,【後漢 安世高譯】
002055##T0150A   1,七處三觀經                               ,【後漢 安世高譯】
002056##T0150B   1,九橫經                                   ,【後漢 安世高譯】
002057##T0151    1,佛說阿含正行經                           ,【後漢 安世高譯】
003001##T0152    8,六度集經                                 ,【吳 康僧會譯】
003002##T0153    3,菩薩本緣經                               ,【吳 支謙譯】
003003##T0154    5,生經                                     ,【西晉 竺法護譯】
003004##T0155    3,菩薩本行經                               ,【失譯】
003005##T0156    7,大方便佛報恩經                           ,【失譯】
003006##T0157   10,悲華經                                   ,【北涼 曇無讖譯】
003007##T0158    8,大乘悲分陀利經                           ,【失譯】
003008##T0159    8,大乘本生心地觀經                         ,【唐 般若譯】
003009##T0160   16,菩薩本生鬘論                             ,【宋 紹德慧詢等譯】
003010##T0161    1,長壽王經                                 ,【失譯】
003011##T0162    1,金色王經                                 ,【東魏 瞿曇般若流支譯】
003012##T0163    1,妙色王因緣經                             ,【唐 義淨譯】
003013##T0164    1,師子素馱娑王斷肉經                       ,【唐 智嚴譯】
003014##T0165    6,頂生王因緣經                             ,【宋 施護等譯】
003015##T0166    1,月光菩薩經                               ,【宋 法賢譯】
003016##T0167    1,太子慕魄經                               ,【後漢 安世高譯】
003017##T0168    1,太子墓魄經                               ,【西晉 竺法護譯】
003018##T0169    1,月明菩薩經                               ,【吳 支謙譯】
003019##T0170    1,德光太子經                               ,【西晉 竺法護譯】
003020##T0171    1,太子須大拏經                             ,【西秦 聖堅譯】
003021##T0172    1,菩薩投身飴餓虎起塔因緣經                 ,【北涼 法盛譯】
003022##T0173    4,福力太子因緣經                           ,【宋 施護譯】
003023##T0174    1,菩薩睒子經                               ,【失譯】
003024##T0175a   1,睒子經                                   ,【伏秦 聖堅譯】
003025##T0175b   1,佛說睒子經                               ,【姚秦 聖堅譯】
003026##T0175c   1,佛說睒子經                               ,【西晉 聖堅譯】
003027##T0176    1,師子月佛本生經                           ,【失譯】
003028##T0177    1,大意經                                   ,【劉宋 求那跋陀羅譯】
003029##T0178    1,前世三轉經                               ,【西晉 法炬譯】
003030##T0179    1,銀色女經                                 ,【元魏 佛陀扇多譯】
003031##T0180    1,過去世佛分衛經                           ,【西晉 竺法護譯】
003032##T0181a   1,九色鹿經                                 ,【吳 支謙譯】
003033##T0181b   1,佛說九色鹿經                             ,【吳 支謙譯】
003034##T0182a   1,鹿母經                                   ,【西晉 竺法護譯】
003035##T0182b   1,佛說鹿母經                               ,【西晉 竺法護譯】
003036##T0183    1,一切智光明仙人慈心因緣不食肉經           ,【失譯】
003037##T0184    2,修行本起經                               ,【後漢 竺大力共康孟詳譯】
003038##T0185    2,太子瑞應本起經                           ,【吳 支謙譯】
003039##T0186    8,普曜經                                   ,【西晉 竺法護譯】
003040##T0187   12,方廣大莊嚴經                             ,【唐 地婆訶羅譯】
003041##T0188    1,異出菩薩本起經                           ,【西晉 聶道真譯】
003042##T0189    4,過去現在因果經                           ,【劉宋 求那跋陀羅譯】
003043##T0190   60,佛本行集經                               ,【隋 闍那崛多譯】
003044##T0191   13,眾許摩訶帝經                             ,【宋 法賢譯】
004001##T0192    5,佛所行讚                                 ,【北涼 曇無讖譯】
004002##T0193    7,佛本行經                                 ,【宋 釋寶雲譯】
004003##T0194    3,僧伽羅剎所集經                           ,【符秦 僧伽跋澄等譯】
004004##T0195    1,佛說十二遊經                             ,【東晉 迦留陀伽譯】
004005##T0196    2,中本起經                                 ,【後漢 曇果共康孟詳譯】
004006##T0197    2,佛說興起行經                             ,【後漢 康康孟詳】
004007##T0198    2,佛說義足經                               ,【吳 支謙譯】
004008##T0199    1,佛五百弟子自說本起經                     ,【西晉 竺法護譯】
004009##T0200   10,撰集百緣經                               ,【吳 支謙譯】
004010##T0201   15,大莊嚴論經                               ,【後秦 鳩摩羅什譯】
004011##T0202   13,賢愚經                                   ,【元魏 慧覺等譯】
004012##T0203   10,雜寶藏經                                 ,【元魏 吉迦夜共曇曜譯】
004013##T0204    1,雜譬喻經                                 ,【後漢 支婁迦讖譯】
004014##T0205    2,雜譬喻經                                 ,【失譯】
004015##T0206    2,舊雜譬喻經                               ,【吳 康僧會譯】
004016##T0207    1,雜譬喻經                                 ,【道略集】
004017##T0208    2,眾經撰雜譬喻                             ,【姚秦 鳩摩羅什譯】
004018##T0209    4,百喻經                                   ,【蕭齊 求那毘地譯】
004019##T0210    2,法句經                                   ,【吳 維祇難等譯】
004020##T0211    4,法句譬喻經                               ,【西晉 法炬共法立譯】
004021##T0212   30,出曜經                                   ,【姚秦 竺佛念譯】
004022##T0213    4,法集要頌經                               ,【宋 天息災譯】
004023##T0214    1,猘狗經                                   ,【吳 支謙譯】
004024##T0215    1,群牛譬經                                 ,【西晉 法炬譯】
004025##T0216    1,大魚事經                                 ,【東晉 竺曇無蘭譯】
004026##T0217    1,譬喻經                                   ,【唐 義淨譯】
004027##T0218    1,灌頂王喻經                               ,【宋 施護等譯】
004028##T0219    1,醫喻經                                   ,【宋 施護譯】
005001##T0220a 200,大般若波羅蜜多經001-200卷                ,【唐 玄奘譯】
006001##T0220b 200,大般若波羅蜜多經201-400卷                ,【唐 玄奘譯】
007001##T0220c 200,大般若波羅蜜多經401-600卷                ,【唐 玄奘譯】
007002##T0220d 200,大般若波羅蜜多經401-600卷                ,【唐 玄奘譯】
007003##T0220e 200,大般若波羅蜜多經401-600卷                ,【唐 玄奘譯】
007004##T0220f 200,大般若波羅蜜多經401-600卷                ,【唐 玄奘譯】
007005##T0220g 200,大般若波羅蜜多經401-600卷                ,【唐 玄奘譯】
007006##T0220h 200,大般若波羅蜜多經401-600卷                ,【唐 玄奘譯】
007007##T0220i 200,大般若波羅蜜多經401-600卷                ,【唐 玄奘譯】
007008##T0220j 200,大般若波羅蜜多經401-600卷                ,【唐 玄奘譯】
007009##T0220k 200,大般若波羅蜜多經401-600卷                ,【唐 玄奘譯】
007010##T0220l 200,大般若波羅蜜多經401-600卷                ,【唐 玄奘譯】
007011##T0220m 200,大般若波羅蜜多經401-600卷                ,【唐 玄奘譯】
007012##T0220n 200,大般若波羅蜜多經401-600卷                ,【唐 玄奘譯】
007013##T0220o 200,大般若波羅蜜多經401-600卷                ,【唐 玄奘譯】
008001##T0221   20,放光般若經                                   ,【西晉 無羅叉譯】
008002##T0222   10,光讚經                                       ,【西晉 竺法護譯】
008003##T0223   27,摩訶般若波羅蜜經                             ,【後秦 鳩摩羅什譯】
008004##T0224   10,道行般若經                                   ,【後漢 支婁迦讖譯】
008005##T0225    6,大明度經                                     ,【吳 支謙譯】
008006##T0226    5,摩訶般若鈔經                                 ,【前秦 曇摩蜱共竺佛念譯】
008007##T0227   10,小品般若波羅蜜經                             ,【後秦 鳩摩羅什譯】
008008##T0228   25,佛說佛母出生三法藏般若波羅蜜多經             ,【宋 施護譯】
008009##T0229    3,佛說佛母寶德藏般若波羅蜜經                   ,【宋 法賢譯】
008010##T0230    1,聖八千頌般若波羅蜜多一百八名真實圓義陀羅尼經 ,【宋 施護等譯】
008011##T0231    7,勝天王般若波羅蜜經                           ,【陳 月婆首那譯】
008012##T0232    2,文殊師利所說摩訶般若波羅蜜經                 ,【梁 曼陀羅仙譯】
008013##T0233    1,文殊師利所說般若波羅蜜經                     ,【梁 僧伽娑羅譯】
008014##T0234    2,佛說濡首菩薩無上清淨分衛經                   ,【宋 翔公譯】
008015##T0235    1,金剛般若波羅蜜經                             ,【姚秦 鳩摩羅什譯】
008016##T0236a   1,金剛般若波羅蜜經                             ,【元魏 菩提流支譯】
008017##T0236b   1,金剛般若波羅蜜經                             ,【元魏 菩提流支譯】
008018##T0237    1,金剛般若波羅蜜經                             ,【陳 真諦譯】
008019##T0238    1,金剛能斷般若波羅蜜經                         ,【隋 笈多譯】
008020##T0239    1,佛說能斷金剛般若波羅蜜多經                   ,【唐 義淨譯】
008021##T0240    1,實相般若波羅蜜經                             ,【唐 菩提流志譯】
008022##T0241    1,金剛頂瑜伽理趣般若經                         ,【唐 金剛智譯】
008023##T0242    1,佛說遍照般若波羅蜜經                         ,【宋 施護譯】
008024##T0243    1,大樂金剛不空真實三麼耶經                     ,【唐 不空譯】
008025##T0244    7,佛說最上根本大樂金剛不空三昧大教王經         ,【宋 法賢譯】
008026##T0245    2,佛說仁王般若波羅蜜經                         ,【姚秦 鳩摩羅什譯】
008027##T0246    2,仁王護國般若波羅蜜多經                       ,【唐 不空譯】
008028##T0247    1,佛說了義般若波羅蜜多經                       ,【宋 施護譯】
008029##T0248    1,佛說五十頌聖般若波羅蜜經                     ,【宋 施護譯】
008030##T0249    1,佛說帝釋般若波羅蜜多心經                     ,【宋 施護譯】
008031##T0250    1,摩訶般若波羅蜜大明咒經                       ,【姚秦 鳩摩羅什譯】
008032##T0251    1,般若波羅蜜多心經                             ,【唐 玄奘譯】
008033##T0252    1,普遍智藏般若波羅蜜多心經                     ,【唐 法月重譯】
008034##T0253    1,般若波羅蜜多心經                             ,【唐 般若共利言等譯】
008035##T0254    1,般若波羅蜜多心經                             ,【唐 智慧輪譯】
008036##T0255    1,般若波羅蜜多心經                             ,【唐 法成譯】
008037##T0256    1,唐梵翻對字音般若波羅蜜多心經                 ,【】
008038##T0257    1,佛說聖佛母般若波羅蜜多經                     ,【宋 施護譯】
008039##T0258    1,佛說聖佛母小字般若波羅蜜多經                 ,【宋 天息災譯】
008040##T0259    1,佛說觀想佛母般若波羅蜜多菩薩經               ,【宋 天息災譯】
008041##T0260    4,佛說開覺自性般若波羅蜜多經                   ,【宋 惟淨等譯】
008042##T0261   10,大乘理趣六波羅蜜多經                         ,【唐 般若譯】
09a001##T0262    7,妙法蓮華經                               ,【姚秦 鳩摩羅什譯】
09a002##T0263   10,正法華經                                 ,【西晉 竺法護譯】
09a003##T0264    7,添品妙法蓮華經                           ,【隋 闍那崛多共笈多譯】
09a004##T0265    1,薩曇分陀利經                             ,【失譯】
09a005##T0266    3,佛說阿惟越致遮經                         ,【西晉 竺法護譯】
09a006##T0267    4,不退轉法輪經                             ,【失譯】
09a007##T0268    6,佛說廣博嚴淨不退轉輪經                   ,【劉宋 智嚴譯】
09a008##T0269    1,佛說法華三昧經                           ,【劉宋 智嚴譯】
09a009##T0270    2,大法鼓經                                 ,【劉宋 求那跋陀羅譯】
09a010##T0271    3,佛說菩薩行方便境界神通變化經             ,【劉宋 求那跋陀羅譯】
09a011##T0272   10,大薩遮尼乾子所說經                       ,【元魏 菩提流支譯】
09a012##T0273    1,金剛三昧經                               ,【失譯】
09a013##T0274    1,佛說濟諸方等學經                         ,【西晉 竺法護譯】
09a014##T0275    1,大乘方廣總持經                           ,【隋 毘尼多流支譯】
09a015##T0276    1,無量義經                                 ,【蕭齊 曇摩伽陀耶舍譯】
09a016##T0277    1,佛說觀普賢菩薩行法經                     ,【劉宋 曇無蜜多譯】
09b017##T0278   60,大方廣佛華嚴經                           ,【東晉 佛馱跋陀羅譯】
010001##T0279   80,大方廣佛華嚴經                           ,【唐 實叉難陀譯】
010002##T0280    1,佛說兜沙經                               ,【後漢 支婁迦讖譯】
010003##T0281    1,佛說菩薩本業經                           ,【吳 支謙譯】
010004##T0282    1,諸菩薩求佛本業經                         ,【西晉 聶道真譯】
010005##T0283    1,菩薩十住行道品                           ,【西晉 竺法護譯】
010006##T0284    1,佛說菩薩十住經                           ,【東晉 祇多蜜譯】
010007##T0285    5,漸備一切智德經                           ,【西晉 竺法護譯】
010008##T0286    4,十住經                                   ,【姚秦 鳩摩羅什譯】
010009##T0287    9,佛說十地經                               ,【唐 尸羅達摩譯】
010010##T0288    3,等目菩薩所問三昧經                       ,【西晉 竺法護譯】
010011##T0289    1,顯無邊佛土功德經                         ,【唐 玄奘譯】
010012##T0290    1,佛說較量一切佛剎功德經                   ,【宋 法賢譯】
010013##T0291    4,佛說如來興顯經                           ,【西晉 竺法護譯】
010014##T0292    6,度世品經                                 ,【西晉 竺法護譯】
010015##T0293   40,大方廣佛華嚴經                           ,【唐 般若譯】
010016##T0294    3,佛說羅摩伽經                             ,【西秦 聖堅譯】
010017##T0295    1,大方廣佛華嚴經入法界品                   ,【唐 地婆訶羅譯】
010018##T0296    1,文殊師利發願經                           ,【東晉 佛陀跋陀羅譯】
010019##T0297    1,普賢菩薩行願讚                           ,【唐 不空譯】
010020##T0298    1,大方廣普賢所說經                         ,【唐 實叉難陀譯】
010021##T0299    5,大方廣總持寶光明經                       ,【宋 法天譯】
010022##T0300    1,大方廣佛華嚴經不思議佛境界分             ,【唐 提雲般若譯】
010023##T0301    1,大方廣如來不思議境界經                   ,【唐 實叉難陀譯】
010024##T0302    1,度諸佛境界智光嚴經                       ,【失譯】
010025##T0303    2,佛華嚴入如來德智不思議境界經             ,【隋 闍那崛多譯】
010026##T0304    1,大方廣入如來智德不思議經                 ,【唐 實叉難陀譯】
010027##T0305    5,信力入印法門經                           ,【元魏 曇摩流支譯】
010028##T0306    1,大方廣佛花嚴經修慈分                     ,【唐 提雲般若等譯】
010029##T0307    1,佛說莊嚴菩提心經                         ,【姚秦 鳩摩羅什譯】
010030##T0308    1,佛說大方廣菩薩十地經                     ,【元魏 吉迦夜譯】
010031##T0309   10,最勝問菩薩十住除垢斷結經                 ,【姚秦 竺佛念譯】
011001##T0310  120,大寶積經                                 ,【唐 菩提流志譯并合】
011002##T0311    3,大方廣三戒經                             ,【北涼 曇無讖譯】
011003##T0312   20,佛說如來不思議祕密大乘經                 ,【宋 法護譯】
011004##T0313    2,阿[門@(人/(人*人))]佛國經                ,【後漢 支婁迦讖譯】
011005##T0314    1,佛說大乘十法經                           ,【梁 僧伽婆羅譯】
011006##T0315a   1,佛說普門品經                             ,【西晉 竺法護譯】
011007##T0315b   1,佛說普門品經                             ,【西晉 竺法護譯】
011008##T0316   40,佛說大乘菩薩藏正法經                     ,【宋 法護等譯】
011009##T0317    1,佛說胞胎經                               ,【西晉 竺法護譯】
011010##T0318    2,文殊師利佛土嚴淨經                       ,【西晉 竺法護譯】
011011##T0319    3,大聖文殊師利菩薩佛剎功德莊嚴經           ,【唐 不空譯】
011012##T0320   20,父子合集經                               ,【宋 日稱等譯】
12a001##T0321    4,佛說護國尊者所問大乘經                   ,【宋 施護譯】
12a002##T0322    1,法鏡經                                   ,【後漢 安玄譯】
12a003##T0323    1,郁迦羅越問菩薩行經                       ,【西晉 竺法護譯】
12a004##T0324    1,佛說幻士仁賢經                           ,【西晉 竺法護譯】
12a005##T0325    1,佛說決定毘尼經                           ,【西晉 燉煌三藏譯】
12a006##T0326    1,佛說三十五佛名禮懺文                     ,【唐 不空譯】
12a007##T0327    2,發覺淨心經                               ,【隋 闍那崛多譯】
12a008##T0328    1,佛說須賴經                               ,【曹魏 白延譯】
12a009##T0329    1,佛說須賴經                               ,【前涼 支施崙譯】
12a010##T0330    1,佛說菩薩修行經                           ,【西晉 白法祖譯】
12a011##T0331    3,佛說無畏授所問大乘經                     ,【宋 施護等譯】
12a012##T0332    1,佛說優填王經                             ,【西晉 法炬譯】
12a013##T0333    1,佛說大乘日子王所問經                     ,【宋 法天譯】
12a014##T0334    1,佛說須摩提菩薩經                         ,【西晉 竺法護譯】
12a015##T0335    1,佛說須摩提菩薩經                         ,【姚秦 鳩摩羅什譯】
12a016##T0336    1,須摩提經                                 ,【唐 菩提流志譯】
12a017##T0337    1,佛說阿闍貰王女阿術達菩薩經               ,【西晉 竺法護譯】
12a018##T0338    1,佛說離垢施女經                           ,【西晉 竺法護譯】
12a019##T0339    1,得無垢女經                               ,【元魏 瞿曇般若流支譯】
12a020##T0340    2,文殊師利所說不思議佛境界經               ,【唐 菩提流志譯】
12a021##T0341    3,聖善住意天子所問經                       ,【元魏 毘目智仙共般若流支譯】
12a022##T0342    2,佛說如幻三昧經                           ,【西晉 竺法護譯】
12a023##T0343    1,佛說太子刷護經                           ,【西晉 竺法護譯】
12a024##T0344    1,佛說太子和休經                           ,【失譯】
12a025##T0345    2,慧上菩薩問大善權經                       ,【西晉 竺法護譯】
12a026##T0346    4,佛說大方廣善巧方便經                     ,【宋 施護譯】
12a027##T0347    2,大乘顯識經                               ,【唐 地婆訶羅譯】
12a028##T0348    1,佛說大乘方等要慧經                       ,【後漢 安世高譯】
12a029##T0349    1,彌勒菩薩所問本願經                       ,【西晉 竺法護譯】
12a030##T0350    1,佛說遺日摩尼寶經                         ,【後漢 支婁迦讖譯】
12a031##T0351    1,佛說摩訶衍寶嚴經                         ,【失譯】
12a032##T0352    5,佛說大迦葉問大寶積正法經                 ,【宋 施護譯】
12a033##T0353    1,勝鬘師子吼一乘大方便方廣經               ,【劉宋 求那跋陀羅譯】
12a034##T0354    2,毘耶娑問經                               ,【元魏 瞿曇般若流支譯】
12a035##T0355    1,入法界體性經                             ,【隋 闍那崛多譯】
12a036##T0356    1,佛說寶積三昧文殊師利菩薩問法身經         ,【後漢 安世高譯】
12a037##T0357    2,如來莊嚴智慧光明入一切佛境界經           ,【元魏 曇摩流支譯】
12a038##T0358    1,度一切諸佛境界智嚴經                     ,【梁 僧伽婆羅等譯】
12a039##T0359    5,佛說大乘入諸佛境界智光明莊嚴經           ,【宋 法護等譯】
12a040##T0360    2,佛說無量壽經                             ,【曹魏 康僧鎧譯】
12a041##T0361    4,佛說無量清淨平等覺經                     ,【後漢 支婁迦讖譯】
12a042##T0362    2,佛說阿彌陀三耶三佛薩樓佛檀過度人道經     ,【吳 支謙譯】
12a043##T0363    3,佛說大乘無量壽莊嚴經                     ,【宋 法賢譯】
12a044##T0364    2,佛說大阿彌陀經                           ,【宋 王日休校輯】
12a045##T0365    1,佛說觀無量壽佛經                         ,【劉宋 [彊-弓]良耶舍譯】
12a046##T0366    1,佛說阿彌陀經                             ,【姚秦 鳩摩羅什譯】
12a047##T0367    1,稱讚淨土佛攝受經                         ,【唐 玄奘譯】
