001##01 阿含部類 T01-02,25,33 etc.
001001##T0001-25 長阿含經 etc. T01
001001001##T0001 長阿含經22卷
001002002035##T0061 受新歲經1卷
001002002036##T0062 新歲經1卷
001002002037##T0063 解夏經1卷
001002002038##T0064 瞻婆比丘經1卷
001002002039##T0065 伏婬經1卷
001002002040##T0066 魔嬈亂經1卷
001002002041##T0067 弊魔試目連經1卷
001002002042##T0068 賴吒和羅經1卷
001002002043##T0069 護國經1卷
001002002044##T0070 數經1卷
001002002045##T0071 梵志頞波羅延問種尊經1卷
001002002046##T0072 三歸五戒慈心厭離功德經1卷
001002002047##T0073 須達經1卷
001002002048##T0074 長者施報經1卷
001002002049##T0075 佛為黃竹園老婆羅門說學經1卷
001002002050##T0076 梵摩渝經1卷
001002002051##T0077 尊上經1卷
001002002052##T0078 兜調經1卷
001002002053##T0079 鸚鵡經1卷
001002002054##T0080 佛為首迦長者說業報差別經1卷
001002002055##T0081 分別善惡報應經2卷
001002002056##T0082 意經1卷
001002002057##T0083 應法經1卷
001002002058##T0084 分別布施經1卷
001002002059##T0085 息諍因緣經1卷
001002002060##T0086 泥犁經1卷
001002002061##T0087 齋經1卷
001002002062##T0088 優陂夷墮舍迦經1卷
001002002063##T0089 八關齋經1卷
001002002064##T0090 鞞摩肅經1卷
001002002065##T0091 婆羅門子命終愛念不離經1卷
001002002066##T0092 十支居士八城人經1卷
001002002067##T0093 邪見經1卷
001002002068##T0094 箭喻經1卷
001003##T0095-98 廣義法門經 etc. T01
001003001##T0095 蟻喻經1卷
001003002##T0096 治意經1卷
001003003##T0097 廣義法門經1卷
001003004##T0098 普法義經1卷
001004##T0099-124, F0089 雜阿含經 etc. T02, F03
001004001##T0099 雜阿含經(50卷．1362經)
001004002##T0100 別譯雜阿含經(16卷．364經)
001004003##T0101-0124, F0089 雜阿含經單本
001004003001##T0101 雜阿含經1卷
001004003002##T0102 佛說五蘊皆空經1卷
001004003003##T0103 佛說聖法印經1卷
001004003004##T0104 佛說法印經1卷
001004003005##T0105 五陰譬喻經1卷
001004003006##T0106 佛說水沫所漂經1卷
001004003007##T0107 佛說不自守意經1卷
001004003008##T0108 佛說滿願子經1卷
001004003009##T0109 佛說轉法輪經1卷
001004003010##T0110 佛說三轉法輪經1卷
001004003011##T0111 佛說相應相可經1卷
001004003012##T0112 佛說八正道經1卷
001004003013##T0113 佛說難提釋經1卷
001004003014##T0114 佛說馬有三相經1卷
001004003015##T0115 佛說馬有八態譬人經1卷
001004003016##T0116 佛說戒德香經1卷
001004003017##T0117 佛說戒香經1卷
001004003018##T0118 佛說鴦掘摩經1卷
001004003019##T0119 佛說鴦崛髻經1卷
001004003020##T0120 央掘魔羅經4卷
001004003021##T0121 佛說月喻經1卷
001004003022##T0122 佛說波斯匿王太后崩塵土坌身經1卷
001004003023##T0123 佛說放牛經1卷
001004003024##T0124 緣起經1卷
001004003025##F0089 佛說恒水流樹經
001005##T0125-48 增壹阿含經 etc. T02
001005001##T0125 增壹阿含經51卷
001005002##T0126-48 增壹阿含經單本
001005002001##T0126 佛說阿羅漢具德經1卷
001005002002##T0127 佛說四人出現世間經1卷
001005002003##T0128a 須摩提女經1卷
001005002004##T0128b 須摩提女經1卷
001005002005##T0129 佛說三摩竭經1卷
001005002006##T0130 佛說給孤長者女得度因緣經3卷
001005002007##T0131 佛說婆羅門避死經1卷
001005002008##T0132a 佛說食施獲五福報經1卷
001005002009##T0132b 施食獲五福報經1卷
001005002010##T0133 頻毘娑羅王詣佛供養經1卷
001005002011##T0134 佛說長者子六過出家經1卷
001005002012##T0135 佛說力士移山經1卷
001005002013##T0136 佛說四未曾有法經1卷
001005002014##T0137 舍利弗摩訶目連遊四衢經1卷
001005002015##T0138 佛說十一想思念如來經1卷
001005002016##T0139 佛說四泥犁經1卷
001005002017##T0140 阿那邠邸化七子經1卷
001005002018##T0141 佛說阿&CB00534;達經1卷
001005002019##T0142a 佛說玉耶女經1卷
001005002020##T0142b 玉耶女經1卷
001005002021##T0143 玉耶經1卷
001005002022##T0144 佛說大愛道般泥洹經1卷
001005002023##T0145 佛母般泥洹經1卷
001005002024##T0146 舍衛國王夢見十事經1卷
001005002025##T0147 佛說舍衛國王十夢經1卷
001005002026##T0148 國王不梨先泥十夢經1卷
001006##T0149-51 阿難同學經 etc. T02
001006001##T0149 佛說阿難同學經1卷
001006002##T0150A 七處三觀經1卷
001006003##T0150B 九橫經1卷
001006004##T0151 佛說阿含正行經1卷
001007##T1505-08 阿含經論釋 T25
001007001##T1505 四阿鋡暮抄解2卷
001007002##T1506 三法度論3卷
001007003##T1507 分別功德論5卷
001007004##T1508 阿含口解十二因緣經1卷
001008##T1693-94 阿含經疏 T33
001008001##T1693 人本欲生經註 1 道安
001008002##T1694 陰持入經註 2 陳慧
002##02 本緣部類 T03-04, X20-21 etc.
002001##T0152-83 佛本生經 etc. T03, X20-21
002001001##T0152 六度集經8卷
002001002##T0153 菩薩本緣經3卷
002001003##T0154 生經5卷
002001004##T0155 菩薩本行經3卷
002001005##T0156 大方便佛報恩經7卷
002001006##T0157 悲華經10卷
002001007##T0158 大乘悲分陀利經8卷
002001008##T0159 大乘本生心地觀經 T03／淺註 X20-21
002001008001##T0159 大乘本生心地觀經8卷
002001008002##X0365 大乘本生心地觀經淺註懸示
002001008003##X0366 大乘本生心地觀經淺註科文
002001008004##X0367a 大乘本生心地觀經淺註
002001008005##X0367b 大乘本生心地觀經淺註
002001009##T0160 菩薩本生鬘論16卷
002001010##T0161 長壽王經1卷
002001011##T0162 金色王經1卷
002001012##T0163 妙色王因緣經1卷
002001013##T0164 師子素馱娑王斷肉經1卷
002001014##T0165 頂生王因緣經6卷
002001015##T0166 月光菩薩經1卷
002001016##T0167 太子慕魄經1卷
002001017##T0168 太子墓魄經1卷
002001018##T0169 月明菩薩經1卷
002001019##T0170 德光太子經1卷
002001020##T0171 太子須大拏經1卷
002001021##T0172 菩薩投身飴餓虎起塔因緣經1卷
002001022##T0173 福力太子因緣經4卷
002001023##T0174 菩薩睒子經1卷
002001024##T0175a 睒子經1卷
002001025##T0175b 佛說睒子經1卷
002001026##T0175c 佛說睒子經1卷
002001027##T0176 師子月佛本生經1卷
002001028##T0177 大意經1卷
002001029##T0178 前世三轉經1卷
002001030##T0179 銀色女經1卷
002001031##T0180 過去世佛分衛經1卷
002001032##T0181a 九色鹿經1卷
002001033##T0181b 佛說九色鹿經1卷
002001034##T0182a 鹿母經1卷
002001035##T0182b 佛說鹿母經1卷
002001036##T0183 一切智光明仙人慈心因緣不食肉經1卷
002002##T0184-96, F0069 佛傳 etc. T03-04, F02
002002001##T0184 修行本起經2卷
002002002##T0185 太子瑞應本起經2卷
002002003##T0186 普曜經8卷
002002004##T0187 方廣大莊嚴經12卷
002002005##T0188 異出菩薩本起經1卷
002002006##T0189 過去現在因果經4卷
002002007##F0069 因果本起經
002002008##T0190 佛本行集經60卷
002002009##T0191 眾許摩訶帝經13卷
002002010##T0192 佛所行讚5卷
002002011##T0193 佛本行經7卷
002002012##T0194 僧伽羅剎所集經3卷
002002013##T0195 佛說十二遊經1卷
002002014##T0196 中本起經2卷
002003##T0197-209 佛及弟子因緣 T04
002003001##T0197 佛說興起行經2卷
002003002##T0198 佛說義足經2卷
002003003##T0199 佛五百弟子自說本起經1卷
002003004##T0200 撰集百緣經10卷
002003005##T0201 大莊嚴論經15卷
002003006##T0202 賢愚經13卷
002003007##T0203 雜寶藏經10卷
002003008##T0204 雜譬喻經1卷
002003009##T0205 雜譬喻經2卷
002003010##T0206 舊雜譬喻經2卷
002003011##T0207 雜譬喻經1卷
002003012##T0208 眾經撰雜譬喻2卷
002003013##T0209 百喻經4卷
002004##T0210-13 法句經 etc. T04
002004001##T0210 法句經2卷
002004002##T0211 法句譬喻經4卷
002004003##T0212 出曜經30卷
002004004##T0213 法集要頌經4卷
002005##T0214-19 譬喻經 etc. T04
002005001##T0214 猘狗經1卷
002005002##T0215 群牛譬經1卷
002005003##T0216 大魚事經1卷
002005004##T0217 譬喻經1卷
002005005##T0218 灌頂王喻經1卷
002005006##T0219 醫喻經1卷
003##03 般若部類 T05-08,25,33,40,85, X24-26,46,74 etc.
003001##01 上品般若(大般若經第1會) T05-06
003001001##T0220a 大般若經 1-200
003001002##T0220b 大般若經 201-400
003002##02 中品般若經(大般若經第2-3會) T07-08／論 T25／疏 T33, X24,46
003002001##T0220c,21-23 中品般若經 T07-08
003002001001##T0220c 大般若經 401-537 第2-3會
003002001002##T0221 放光般若經20卷
003002001003##T0222 光讚經10卷
003002001004##T0223 摩訶般若波羅蜜經27卷
003002002##T1509 大智度論(100卷) T25／疏 X46
003002002001##T1509 大智度論(100卷) T25
003002002002##X0791 大智度論疏
003002003##T1696-97, X0451 中品般若經疏 T33, X24
003002003001##T1696 大品遊意 1 吉藏
003002003002##T1697 大慧度經宗要 1 元曉
003002003003##X0451 大品經義疏
003003##03 小品般若經(大般若經第4-5會) T07-08／論 T25
003003001##T0220d,24-29 小品般若經 T07-08
003003001001##T0220d 大般若經 538-565 第4-5會
003003001002##T0224 道行般若經10卷
003003001003##T0225 大明度經6卷
003003001004##T0226 摩訶般若鈔經5卷
003003001005##T0227 小品般若波羅蜜經10卷
003003001006##T0228 佛說佛母出生三法藏般若波羅蜜多經25卷
003003001007##T0229 佛說佛母寶德藏般若波羅蜜經3卷
003003002##T1516-18 八千頌般若經釋論 T25
003003002001##T1516 聖佛母般若波羅蜜多九頌精義論2卷
003003002002##T1517 佛母般若波羅蜜多圓集要義釋論4卷
003003002003##T1518 佛母般若波羅蜜多圓集要義論1卷
003004##04 天王般若(大般若經第6會) T07-08
003004001##T0220e 大般若經 566-73 第6會
003004002##T0231 勝天王般若波羅蜜經7卷
003005##05 文殊般若(大般若經第7會) T07-08
003005001##T0220f 大般若經 574-5 第7會
003005002##T0232 文殊師利所說摩訶般若波羅蜜經2卷
003005003##T0233 文殊師利所說般若波羅蜜經1卷
003006##06 那伽室利般若(大般若經第8會) T07-08
003006001##T0220g 大般若經 576 第8會
003006002##T0234 佛說濡首菩薩無上清淨分衛經2卷
003007##07 金剛般若經(大般若經第9會) T07-08, K05／論 T25／疏 T33,40,85, X24-25, J31, P187, F03／禮懺 X74
003007001##T0220h,0235-39 金剛般若經 T07-08, K05
003007001001##T0220h 大般若經 577 第9會
003007001002##T0235 金剛般若波羅蜜經1卷
003007001003##T0236a 金剛般若波羅蜜經1卷
003007001004##T0236b 金剛般若波羅蜜經1卷
003007001005##T0237 金剛般若波羅蜜經1卷
003007001006##T0238 金剛能斷般若波羅蜜經1卷
003007001007##T0239 佛說能斷金剛般若波羅蜜多經1卷
003007001008##K0016 能斷金剛般若波羅蜜多經
003007002##T1510-15 金剛般若釋論 T25
003007002001##T1510a 金剛般若論2卷
003007002002##T1510b 金剛般若波羅蜜經論3卷
003007002003##T1511 金剛般若波羅蜜經論3卷
003007002004##T1512 金剛仙論10卷
003007002005##T1513 能斷金剛般若波羅蜜多經論釋3卷
003007002006##T1514 能斷金剛般若波羅蜜多經論頌1卷
003007002007##T1515 金剛般若波羅蜜經破取著不壞假名論2卷
003007003##T1698-1704 etc. 金剛經疏 T33, X24-25, J31, P187, F03
003007003001##T1698 金剛般若經疏 1 智顗
003007003002##T1699 金剛般若疏 4 吉藏
003007003003##T1700 金剛般若經贊述 2 窺基
003007003004##P1624 金剛經疏論纂要（選錄「釋金剛經纂要疏科」）
003007003005##T1701 金剛般若經疏論纂要 2 宗密
003007003006##T1702 金剛經纂要刊定記 7 子璿
003007003007##T1703 金剛般若波羅蜜經註解 1 宗．如
003007003008##T1704 佛說金剛般若波羅蜜經略疏 2 智儼
003007003009##X0454 金剛經註
003007003010##X0456 金剛經註疏
003007003011##X0459 金剛經解義
003007003012##X0460 金剛經口訣
003007003013##X0461 金剛經註
003007003014##X0462 金剛經會解
003007003015##X0463-5 金剛經采微科 etc. X24
003007003015001##X0463 金剛經采微科
003007003015002##X0464 金剛經采微
003007003015003##X0465 金剛經采微餘釋
003007003016##X0466 金剛疏科釋
003007003017##X0467 銷釋金剛經科儀會要註解
003007003018##X0468 金剛經註解
003007003019##X0469 金剛經補註
003007003020##X0470 金剛經註解鐵鋑[金*舀]
003007003021##X0471 金剛經宗通
003007003022##X0472 金剛經偈釋
003007003023##X0473 金剛經釋
003007003024##X0474 金剛經決疑
003007003025##X0475 金剛經[鎞-囟+(奐-大)]
003007003026##X0476 金剛經統論
003007003027##X0477 金剛經正眼
003007003028##X0478 金剛經筆記
003007003029##X0479 金剛經破空論
003007003030##X0480 金剛經觀心釋
003007003031##X0481 金剛經略談
003007003032##X0482 金剛經略疏
003007003033##X0483 金剛經音釋直解
003007003034##X0484 金剛經大意
003007003035##X0485 金剛經如是解
003007003036##X0486 金剛經會解了義
003007003037##X0487 金剛般若經偈會本（即金剛新眼疏經偈合釋卷首）
003007003038##X0488 金剛經郢說
003007003039##X0489 金剛經註正訛
003007003040##X0490 金剛經淺解
003007003041##X0491 金剛經疏記科會
003007003042##X0492 金剛經疏記會編
003007003043##X0493 金剛經部旨
003007003044##X0494 金剛經註釋
003007003045##X0495 金剛經演古
003007003046##X0496 金剛經直說
003007003047##X0497 金剛經石註
003007003048##X0498 金剛經正解
003007003049##X0499 金剛經法眼懸判疏鈔
003007003050##X0500 金剛經法眼註疏
003007003051##X0501 金剛經如是經義
003007003052##X0502 金剛經註講
003007003053##X0503 金剛經注解
003007003054##X0504 金剛經彙纂
003007003055##X0505 金剛經心印疏
003007003056##X0506 金剛經注
003007003057##X0507 金剛經訂義
003007003058##X0508 金剛經闡說
003007003059##X0509 金剛經解義
003007003060##X0510 金剛經易解
003007003061##JB269 金剛般若經疏論纂要刊定記會編
003007003062##F0100 金剛般若波羅蜜經（御注並序）
003007004##T1816-17 金剛經論釋 T40
003007004001##T1816 金剛般若論會釋3卷T40
003007004002##T1817 略明般若末後一頌讚述1卷T40
003007005##T2732-43 金剛經古逸疏 T85
003007005001##T2732 梁朝傅大士頌金剛經 1卷
003007005002##T2733 御注金剛般若波羅蜜經宣演 2卷
003007005003##T2734 金剛●卷上 1卷
003007005004##T2735 金剛般若經旨贊 2卷
003007005005##T2736 金剛般若經依天親菩薩論贊略釋秦本義記卷上 1卷
003007005006##T2737 金剛經疏 1卷
003007005007##T2738 金剛經疏 1卷
003007005008##T2739 金剛般若經挾註 1卷
003007005009##T2740 金剛般若義記 1卷
003007005010##T2741 金剛般若經疏 1卷
003007005011##T2742 金剛般若波羅蜜經傳外傳卷下 2卷
003007005012##T2743 持誦金剛經靈驗功德記 1卷
003007006##X1494 金剛經科儀 1卷 X74
003008##08 理趣般若經(大般若經第10會) T07-08／疏 T33
003008001##T0220i 大般若經 578 第10會
003008002##T0240 實相般若波羅蜜經1卷
003008003##T0241 金剛頂瑜伽理趣般若經1卷
003008004##T0242 佛說遍照般若波羅蜜經1卷
003008005##T0243 大樂金剛不空真實三麼耶經1卷
003008006##T0244 佛說最上根本大樂金剛不空三昧大教王經7卷
003008007##T1695 般若理趣分述讚3卷 窺基 T33
003009##09 六分般若(大般若經第11-16會) T07
003009001##T0220j 大般若經 579-83 布施分
003009002##T0220k 大般若經 584-88 淨戒分
003009003##T0220l 大般若經 589 安忍分
003009004##T0220m 大般若經 590 精進分
003009005##T0220n 大般若經 591-2 靜慮分
003009006##T0220o 大般若經 593-600 般若分
003010##10 般若心經 T08, F27／疏 T33,85, X26
003010001##T0250-57 etc. 般若心經 T08, F27
003010001001##T0250 摩訶般若波羅蜜大明咒經1卷
003010001002##T0251 般若波羅蜜多心經1卷
003010001003##T0252 普遍智藏般若波羅蜜多心經1卷
003010001004##T0253 般若波羅蜜多心經1卷
003010001005##T0254 般若波羅蜜多心經1卷
003010001006##T0255 般若波羅蜜多心經1卷
003010001007##T0256 唐梵翻對字音般若波羅蜜多心經1卷
003010001008##F1056 梵本般若波羅蜜多心經
003010001009##F1060 梵本般若波羅蜜多心經
003010001010##T0257 佛說聖佛母般若波羅蜜多經1卷
003010002##T1710-14 etc. 般若心經疏 T33, X26
003010002001##T1710 般若波羅蜜多心經幽贊2卷
003010002002##T1711 般若波羅蜜多心經贊1卷
003010002003##T1712 般若波羅蜜多心經略疏1卷
003010002004##T1713 般若心經略疏連珠記2卷
003010002005##T1714 般若波羅蜜多心經註解1卷
003010002006##X0521 般若心經疏
003010002007##X0522 般若心經疏
003010002008##X0524 般若心經幽贊添改科
003010002009##X0525 般若心經幽贊崆峒記
003010002010##X0526 般若心經註
003010002011##X0528 般若心經疏
003010002012##X0529 般若心經疏
003010002013##X0530 般若心經疏詒謀鈔
003010002014##X0531 般若心經略疏顯正記
003010002015##X0532 般若心經略疏小鈔
003010002016##X0533 般若心經三注
003010002017##X0534 般若心經注
003010002018##X0535 般若心經解義節要
003010002019##X0536 般若心經注解
003010002020##X0537 般若心經直談
003010002021##X0538 般若心經要論
003010002022##X0539 般若心經說
003010002023##X0540 般若心經釋義
003010002024##X0541 般若心經釋疑
003010002025##X0542 般若心經直說
003010002026##X0543 般若心經提綱
003010002027##X0544 般若心經釋略
003010002028##X0545 般若心經概論
003010002029##X0546 般若心經說
003010002030##X0547 般若心經註解
003010002031##X0548 般若心經[(留-田+亞)*斤]輪解
003010002032##X0549 般若心經正眼
003010002033##X0550 般若心經開度
003010002034##X0551 般若心經發隱
003010002035##X0552 般若心經際決
003010002036##X0553 般若心經添足
003010002037##X0554 般若心經貫義
003010002038##X0555 般若心經釋要
003010002039##X0556 般若心經小談
003010002040##X0557 般若心經一貫疏
003010002041##X0558 般若心經指掌
003010002042##X0559 般若心經事觀解
003010002043##X0560 般若心經理性解
003010002044##X0561 般若心經大意
003010002045##X0562 般若心經解
003010002046##X0563 般若心經請益說
003010002047##X0564 般若心經註疏
003010002048##X0565 般若心經論
003010002049##X0566 般若心經彙纂
003010002050##X0567 般若心經如是經義
003010002051##X0568 般若心經註講
003010002052##X0569 般若心經句解易知
003010002053##X0570 般若心經解義
003010002054##X0571 般若心經註解
003010002055##X0572 般若心經易解
003010002056##X0573 般若心經註解
003010002057##X0574 般若心經註解（世稱無垢子註解心經）
003010002058##X0575 般若心經註解
003010002059##X0576 般若心經註解
003010003##T2746-47 心經古逸疏 T85
003010003001##T2746 般若波羅蜜多心經還源述 1卷
003010003002##T2747 挾註波羅蜜多心經 1卷
003011##11 仁王般若經 T08／疏 T33,85, X26
003011001##T0245-46 仁王經 T08
003011001001##T0245 佛說仁王般若波羅蜜經2卷
003011001002##T0246 仁王護國般若波羅蜜多經2卷
003011002##T1705-09 etc. 仁王經疏 T33, X26
003011002001##T1705 仁王護國般若經疏5卷
003011002002##T1706 仁王護國般若波羅蜜經疏神寶記4卷
003011002003##T1707 仁王般若經疏3卷
003011002004##T1708 仁王經疏3卷
003011002005##T1709 仁王護國般若波羅蜜多經疏3卷
003011002006##X0513 仁王經合疏
003011002007##X0514 仁王經疏會本（此會本粗同合疏故唯錄序文）
003011002008##X0515 仁王經科疏科文
003011002009##X0516 仁王經科疏懸談
003011002010##X0517 仁王經科疏
003011002011##X0519 仁王經疏法衡鈔
003011002012##X0520 仁王經疏
003011003##T2744-45 仁王經古逸疏 T85
003011003001##T2744 仁王般若實相論卷第二2卷
003011003002##T2745 仁王經疏 1卷
003012##12 其他般若 T08
003012001##T0230 聖八千頌般若波羅蜜多一百八名真實圓義陀羅尼經1卷
003012002##T0247 佛說了義般若波羅蜜多經1卷
003012003##T0248 佛說五十頌聖般若波羅蜜經1卷
003012004##T0249 佛說帝釋般若波羅蜜多心經1卷
003012005##T0258 佛說聖佛母小字般若波羅蜜多經1卷
003012006##T0259 佛說觀想佛母般若波羅蜜多菩薩經1卷
003012007##T0260 佛說開覺自性般若波羅蜜多經4卷
003012008##T0261 大乘理趣六波羅蜜多經10卷
003013##13 大般若經關法 etc. X24, F03
003013001##X0448 大般若經關法
003013002##X0449 大般若經綱要
003013003##F0181 大般若關
004##04 法華部類 T09a,26a,33-34,40,46,85, X27-35,46,55-57,74 etc.
004001##T09a, F01 法華經／疏 T33-34,85, X27-35, L115-116, P184-185／論 T34
004001001##T0262-65 法華經／疏 T33-34, X27-35, L115-116, P184-185
004001001001##T0262-65 法華經 T09a
004001001001001##T0262 妙法蓮華經7卷
004001001001002##T0263 正法華經10卷
004001001001003##T0264 添品妙法蓮華經7卷
004001001001004##T0265 薩曇分陀利經1卷
004001001002##T1715-29 etc. 法華經疏 T33-34, X27-35, L115-116, P184-185
004001001002001##T1715 法華經義記8卷
004001001002002##T1716-7, X0588-92, L1490 法華玄義及釋 etc. T33, X28, L115-116
004001001002002001##T1716 妙法蓮華經玄義20卷
004001001002002002##T1717 法華玄義釋籤20卷
004001001002002003##L1490a 妙法蓮華經玄義釋籤 (1-3)
004001001002002004##L1490b 妙法蓮華經玄義釋籤 (4-40)
004001001002002005##X0588 法華經玄籤備檢
004001001002002006##X0589 法華經玄義節要
004001001002002007##X0590 法華經玄義輯略
004001001002002008##X0591 法華經釋籤緣起序指明
004001001002002009##X0592 法華經玄籤證釋
004001001002003##T1718-9, X0593-99 法華文句及記 etc. T34, X28-29
004001001002003001##T1718 妙法蓮華經文句20卷
004001001002003002##T1719 法華文句記31卷
004001001002003003##X0593 法華經文句輔正記
004001001002003004##X0594 法華經疏義纘
004001001002003005##X0595 妙經文句私志諸品要義
004001001002003006##X0596 妙經文句私志記
004001001002003007##X0597 法華經文句記箋難
004001001002003008##X0598 法華經文句格言
004001001002003009##X0599 法華經文句纂要
004001001002004##T1720-2 法華玄論義疏 etc. (吉藏) T34
004001001002004001##T1720 法華玄論10卷
004001001002004002##T1721 法華義疏12卷
004001001002004003##T1722 法華遊意1卷
004001001002005##T1723-4, X0636-9 法華玄贊 etc. (基沼) T34, X34
004001001002005001##T1723 妙法蓮華經玄贊20卷
004001001002005002##T1724 法華玄贊義決1卷
004001001002005003##X0636 法華經玄贊攝釋
004001001002005004##X0637 法華經玄贊決擇記（即法華疏決擇記）
004001001002005005##X0638 法華經玄贊要集
004001001002005006##X0639 法華經玄贊釋
004001001002006##T1725 法華宗要1卷
004001001002007##T1726-9 etc. 觀音經疏 etc. T34, X35
004001001002007001##T1726 觀音玄義2卷
004001001002007002##T1727 觀音玄義記4卷
004001001002007003##T1728 觀音義疏2卷
004001001002007004##T1729 觀音義疏記4卷
004001001002007005##X0640 觀音經玄義記會本科
004001001002007006##X0641 觀音經玄義記條箇
004001001002007007##X0642 觀音經玄義記會本
004001001002007008##X0643 觀音經義疏記會本科
004001001002007009##X0644 觀音經義疏記條箇
004001001002007010##X0645 觀音經義疏記會本
004001001002007011##X0646 觀音經普門品重頌
004001001002007012##X0647 觀音經普門品膚說
004001001002008##X0577 法華經疏
004001001002009##X0582 法華經統略
004001001002010##X0583 法華經大意
004001001002011##X0584-7 法華三大部科文 etc. X27-28
004001001002011001##X0584 法華三大部科文
004001001002011002##X0585 法華三大部讀教記
004001001002011003##X0586 法華三大部補注
004001001002011004##X0587 大部妙玄格言
004001001002012##X0600 法華經入疏
004001001002013##X0601-2, P1617 法華經要解 etc. X30, P184-185
004001001002013001##X0601 法華經要解科
004001001002013002##X0602 法華經要解
004001001002013003##P1617a 妙法蓮華經要解 (1-12 / 13-19)
004001001002013004##P1617b 妙法蓮華經要解 (1-12 / 13-19)
004001001002014##X0603 法華經合論
004001001002015##X0604 法華經句解
004001001002016##X0605-7 法華經科註 X30-31
004001001002016001##X0605 法華經科註
004001001002016002##X0606 法華經科註
004001001002016003##X0607 法華經科註
004001001002017##X0608 法華經知音
004001001002018##X0609 法華經大意
004001001002019##X0610 法華經擊節
004001001002020##X0611 法華經通義
004001001002021##X0612 法華經精解評林
004001001002022##X0613 法華經意語
004001001002023##X0614 法華經大竅
004001001002024##X0615 法華經綸貫
004001001002025##X0616 法華經會義
004001001002026##X0617 法華經卓解
004001001002027##X0618-20 法華經大成 etc. X32
004001001002027001##X0618 法華經大成科
004001001002027002##X0619 法華經大成
004001001002027003##X0620 法華經大成音義
004001001002028##X0621-3 法華經授手 etc. X32
004001001002028001##X0621 法華經授手
004001001002028002##X0622 法華經授手科
004001001002028003##X0623 法華經授手
004001001002029##X0624-5 法華經演義 etc. X33
004001001002029001##X0624 法華經演義科
004001001002029002##X0625 法華經演義
004001001002030##X0626-8 法華經科拾 etc. X33
004001001002030001##X0626 法華經科拾懸談卷首
004001001002030002##X0627 法華經科拾科
004001001002030003##X0628 法華經科拾
004001001002031##X0629-32 法華經指掌疏 etc. X33
004001001002031001##X0629 法華經指掌疏科文
004001001002031002##X0630 法華經指掌疏懸示
004001001002031003##X0631 法華經指掌疏
004001001002031004##X0632 法華經指掌疏事義
004001001002032##X0633 法華經為為章
004001001003##T2748-52 法華經古逸疏 T85
004001001003001##T2748 法華義記卷第三 1卷
004001001003002##T2749 法華經疏 1卷
004001001003003##T2750 法華經疏 1卷
004001001003004##T2751 法華經疏 1卷
004001001003005##T2752 法華問答 1卷
004001002##T0266-68 不退轉法輪經 etc.
004001002001##T0266 佛說阿惟越致遮經3卷
004001002002##T0267 不退轉法輪經4卷
004001002003##T0268 佛說廣博嚴淨不退轉輪經6卷
004001003##T0269 佛說法華三昧經1卷
004001004##T0270-71 大法鼓經 etc. T09a
